Players with highest variance for players playing for 6 years,,,,,,,,,Players with lowest variance for players playing for 6 years,,,,,,,
,,,,,,,,,,,,,,,,
playername,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,variance,,playername,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,variance
Nolan Arenado,0.706,0.764,0.818,0.851,0.875,0.886,0.00486,,Luis Alicea,0.735,0.739,0.736,0.738,0.746,0.737,0.00002
Alan Ashby,0.581,0.562,0.595,0.627,0.641,0.671,0.00166,,Pedro Alvarez,0.788,0.785,0.779,0.766,0.77,0.777,0.00007
Jason Bartlett,0.76,0.723,0.712,0.759,0.741,0.717,0.00045,,Nori Aoki,0.787,0.755,0.741,0.74,0.739,0.738,0.00037
Milton Bradley,0.723,0.832,0.813,0.814,0.853,0.84,0.00218,,Larry Brown,0.662,0.674,0.651,0.642,0.636,0.629,0.00028
Bernie Carbo,1.004,0.856,0.819,0.819,0.811,0.824,0.00556,,Joey Cora,0.699,0.705,0.713,0.726,0.743,0.74,0.00034
Darren Daulton,0.612,0.707,0.782,0.808,0.801,0.807,0.00619,,Jody Davis,0.72,0.761,0.752,0.739,0.737,0.739,0.0002
Mike Epstein,0.704,0.839,0.83,0.818,0.828,0.795,0.00254,,Damaso Garcia,0.677,0.708,0.714,0.706,0.7,0.698,0.00017
Jim Gentile,0.903,0.996,0.929,0.891,0.881,0.868,0.00213,,Evan Gattis,0.771,0.791,0.772,0.786,0.783,0.775,0.00007
Garrett Jones,0.938,0.796,0.782,0.796,0.78,0.769,0.00405,,Tom Goodwin,0.704,0.683,0.671,0.683,0.68,0.683,0.00012
Austin Kearns,0.907,0.845,0.839,0.816,0.789,0.782,0.00207,,Jerry Hairston,0.649,0.674,0.682,0.688,0.681,0.687,0.00021
Casey Kotchman,0.84,0.785,0.766,0.731,0.747,0.724,0.00182,,Woodie Held,0.813,0.818,0.801,0.798,0.789,0.79,0.00014
DJ LeMahieu,0.673,0.667,0.698,0.757,0.763,0.761,0.00209,,Mike Hershberger,0.657,0.679,0.652,0.638,0.642,0.64,0.00024
J.D. Martinez,0.685,0.804,0.836,0.853,0.893,0.92,0.00686,,Starling Marte,0.784,0.796,0.79,0.797,0.786,0.786,0.00003
Anthony Rendon,0.725,0.788,0.768,0.777,0.812,0.83,0.00134,,Aaron Miles,0.697,0.683,0.679,0.678,0.692,0.686,0.00005
Jean Segura,0.752,0.688,0.664,0.721,0.731,0.735,0.00108,,Damian Miller,0.788,0.774,0.742,0.742,0.744,0.739,0.00043
Larry Sheets,0.765,0.785,0.841,0.785,0.766,0.757,0.00095,,Rick Miller,0.711,0.695,0.707,0.702,0.705,0.696,0.00004
John Shelby,0.66,0.607,0.614,0.661,0.674,0.645,0.00075,,Salvador Perez,0.757,0.722,0.717,0.719,0.732,0.729,0.00022
Grady Sizemore,0.832,0.871,0.865,0.868,0.856,0.835,0.00028,,Cody Ross,0.804,0.796,0.775,0.766,0.774,0.771,0.00024
Leroy Stanton,0.688,0.674,0.696,0.715,0.746,0.715,0.00063,,Brian Schneider,0.703,0.715,0.723,0.703,0.695,0.696,0.00012
Bobby Tolan,0.821,0.84,0.8,0.752,0.745,0.729,0.00206,,Mike Stanley,0.923,0.883,0.885,0.888,0.878,0.875,0.00031
,,,,,,Var Avg,0.00248,,,,,,,,Var Avg,0.00018
,,,,,,,,,,,,,,,,
,,High Variance R Squared Results ,,,,,,,Low Variance R Squared Results ,,,,,,,
,,,,,,,,,,,,,,,,
,,Known Years,Predicted Years,XGBoost,Ridge,SVR,Average,,Known Years,Predicted Years,XGBoost,Ridge,SVR,Average,,
,,1,2,0.189,0.165,0.311,0.221,,1,2,0.844,0.833,0.693,0.79,,
,,2,2,0.702,0.686,0.813,0.734,,2,2,0.872,0.888,0.553,0.771,,
,,3,2,0.719,0.693,0.751,0.721,,3,2,0.934,0.945,0.688,0.855,,
,,4,2,0.77,0.862,0.605,0.745,,4,2,0.948,0.98,0.636,0.855,,
